2016-12-17 06:00:01 2 1.2.3.4 - - policy_denied PROXIED "bluecoat_denied;Technology/Internet" - 403 TCP_DENIED CONNECT - tcp iecvlist.microsoft.com 443 / - - "Internet Explorer" 1.2.3.4 185 187 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:01 208 1.2.3.4 - - authentication_failed OBSERVED "Content Servers" - 407 TCP_DENIED CONNECT - tcp log.client.akadns.net 80 / - - "Akamai NetSession Interface" 1.2.3.4 268 116 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:01 1 1.2.3.4 - - authentication_failed DENIED "Content Servers" - 407 TCP_DENIED GET - http log.client.akadns.net 80 /cl/c371253b0d1cb0aa91ae503d28380da4 - - "Akamai NetSession Interface (884d403;win;1.9.3;Win7)" 1.2.3.4 2366 174 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:01 1 1.2.3.4 - - authentication_failed DENIED "Content Servers" - 407 TCP_DENIED GET - http log.client.akadns.net 80 /cl/c371253b0d1cb0aa91ae503d28380da4 - - "Akamai NetSession Interface (884d403;win;1.9.3;Win7)" 1.2.3.4 2683 275 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:01 214 1.2.3.4 usrxxx comp1\grp5 policy_denied PROXIED "Shopping;Software Downloads" - 403 TCP_OBSERVED CONNECT - tcp play.google.com 443 / - - "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" 1.2.3.4 185 936 - "none" "none" "access05" "someone" 8000
2016-12-17 06:00:01 1 1.2.3.4 - - policy_denied DENIED "bluecoat_denied;Technology/Internet" - 403 TCP_DENIED CONNECT - tcp iecvlist.microsoft.com 443 / - - "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" 1.2.3.4 185 231 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:01 559 1.2.3.4 usrxxx grp9\grp6 - DENIED "Content Servers" - 200 TCP_REFRESH_MISS GET text/plain http log.client.akadns.net 80 /cl/c371253b0d1cb0aa91ae503d28380da4 - - "Akamai NetSession Interface (884d403;win;1.9.3;Win7)" 1.2.3.4 643 881 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:01 81 1.2.3.4 - - authentication_failed OBSERVED "Content Servers" - 407 TCP_DENIED CONNECT - tcp 1.2.3.4 80 / - - "Akamai NetSession Interface" 1.2.3.4 268 104 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:02 82 1.2.3.4 - - authentication_failed OBSERVED "Content Servers" - 407 TCP_OBSERVED PUT - http 1.2.3.4 80 /logs/c371253b0d1cb0aa91ae503d28380da4.log - log "Akamai NetSession Interface (884d403;win;1.9.3;Win7)" 1.2.3.4 2366 1620 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:02 84 1.2.3.4 - - authentication_failed DENIED "Content Servers" - 407 TCP_DENIED PUT - http 1.2.3.4 80 /logs/c371253b0d1cb0aa91ae503d28380da4.log - log "Akamai NetSession Interface (884d403;win;1.9.3;Win7)" 1.2.3.4 2683 388 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:02 240467 1.2.3.4 - - - PROXIED "GroupN;Search Engines/Portals" - 200 TCP_TUNNELED CONNECT - tcp clients2.google.com 443 / - - "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36" 1.2.3.4 5608 1033 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:02 788 1.2.3.4 usrxxx grp9\grp6 - DENIED "Content Servers" - 200 TCP_NC_MISS PUT text/plain http 1.2.3.4 80 /logs/c371253b0d1cb0aa91ae503d28380da4.log - log "Akamai NetSession Interface (884d403;win;1.9.3;Win7)" 1.2.3.4 180 2311 - "none" "none" "access05" "Grupo1" 8000
2016-12-17 06:00:03 1 1.2.3.4 - - authentication_failed PROXIED "Office/Business Applications" - 407 TCP_DENIED CONNECT - tcp nexus.officeapps.live.com 443 / - - - 1.2.3.4 268 87 - "Office Online" - "access05" "Company1" 8000
2016-12-17 06:00:03 1 1.2.3.4 - - authentication_failed OBSERVED "Office/Business Applications" - 407 TCP_DENIED CONNECT - tcp nexus.officeapps.live.com 443 / - - - 1.2.3.4 568 171 - "Office Online" - "access05" "Company1" 8000
2016-12-17 06:00:03 584 1.2.3.4 usrxxx comp1\GRUPO%20USRINT-DOWNLOAD - OBSERVED "Office/Business Applications" - 200 TCP_TUNNELED CONNECT - tcp nexus.officeapps.live.com 443 / - - - 1.2.3.4 6084 1648 - "Office Online" - "access05" "Company1" 8000
2016-12-17 06:00:04 36 1.2.3.4 - - policy_denied DENIED "bluecoat_denied;Technology/Internet" - 200 TCP_ACCELERATED CONNECT - tcp iecvlist.microsoft.com 443 / - - "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" 1.2.3.4 39 231 - "none" "none" "access05" "Sucursales" 8000
2016-12-17 06:00:05 1 1.2.3.4 - - authentication_failed DENIED "none" - 407 TCP_OBSERVED CONNECT - tcp noone.com.mx 443 / - - - 1.2.3.4 268 67 - "none" "none" "access05" "Company1" 8000
