27 ene 2017 17:43:46,321 DEBUG [conf-file-poller-0] (org.apache.flume.node.PollingPropertiesFileConfigurationProvider$FileWatcherRunnable.run:127)  - Checking file:/opt/ldp/conf/ldp-flume/ldp-flume-l-03.conf for changes
27 ene 2017 17:44:16,321 DEBUG [conf-file-poller-0] (org.apache.flume.node.PollingPropertiesFileConfigurationProvider$FileWatcherRunnable.run:127)  - Checking file:/opt/ldp/conf/ldp-flume/ldp-flume-l-03.conf for changes
27 ene 2017 17:44:20,093 DEBUG [kafka-producer-network-thread | producer-1] (org.apache.kafka.clients.NetworkClient$DefaultMetadataUpdater.maybeUpdate:619)  - Sending metadata request ClientRequest(expectResponse=true, callback=null, request=RequestSend(header={api_key=3,api_version=0,correlation_id=457,client_id=producer-1}, body={topics=[flumel]}), isInitiatedByNetworkClient, createdTimeMs=1485560660093, sendTimeMs=0) to node 0
27 ene 2017 17:44:20,093 DEBUG [kafka-producer-network-thread | producer-3] (org.apache.kafka.clients.NetworkClient$DefaultMetadataUpdater.maybeUpdate:619)  - Sending metadata request ClientRequest(expectResponse=true, callback=null, request=RequestSend(header={api_key=3,api_version=0,correlation_id=462,client_id=producer-3}, body={topics=[flumel]}), isInitiatedByNetworkClient, createdTimeMs=1485560660093, sendTimeMs=0) to node 0
27 ene 2017 17:44:20,094 DEBUG [kafka-producer-network-thread | producer-1] (org.apache.kafka.clients.Metadata.update:172)  - Updated cluster metadata version 24 to Cluster(nodes = [Node(0, c021583, 9092)], partitions = [Partition(topic = flumel, partition = 0, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 1, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 2, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 3, leader = 0, replicas = [0,], isr = [0,]])
27 ene 2017 17:44:20,095 DEBUG [kafka-producer-network-thread | producer-3] (org.apache.kafka.clients.Metadata.update:172)  - Updated cluster metadata version 24 to Cluster(nodes = [Node(0, c021583, 9092)], partitions = [Partition(topic = flumel, partition = 0, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 1, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 2, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 3, leader = 0, replicas = [0,], isr = [0,]])
27 ene 2017 17:44:20,111 DEBUG [kafka-producer-network-thread | producer-4] (org.apache.kafka.clients.NetworkClient$DefaultMetadataUpdater.maybeUpdate:619)  - Sending metadata request ClientRequest(expectResponse=true, callback=null, request=RequestSend(header={api_key=3,api_version=0,correlation_id=450,client_id=producer-4}, body={topics=[flumel]}), isInitiatedByNetworkClient, createdTimeMs=1485560660111, sendTimeMs=0) to node 0
27 ene 2017 17:44:20,112 DEBUG [kafka-producer-network-thread | producer-4] (org.apache.kafka.clients.Metadata.update:172)  - Updated cluster metadata version 24 to Cluster(nodes = [Node(0, c021583, 9092)], partitions = [Partition(topic = flumel, partition = 0, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 1, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 2, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 3, leader = 0, replicas = [0,], isr = [0,]])
27 ene 2017 17:44:20,149 DEBUG [kafka-producer-network-thread | producer-2] (org.apache.kafka.clients.NetworkClient$DefaultMetadataUpdater.maybeUpdate:619)  - Sending metadata request ClientRequest(expectResponse=true, callback=null, request=RequestSend(header={api_key=3,api_version=0,correlation_id=451,client_id=producer-2}, body={topics=[flumel]}), isInitiatedByNetworkClient, createdTimeMs=1485560660148, sendTimeMs=0) to node 0
27 ene 2017 17:44:20,151 DEBUG [kafka-producer-network-thread | producer-2] (org.apache.kafka.clients.Metadata.update:172)  - Updated cluster metadata version 24 to Cluster(nodes = [Node(0, c021583, 9092)], partitions = [Partition(topic = flumel, partition = 0, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 1, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 2, leader = 0, replicas = [0,], isr = [0,], Partition(topic = flumel, partition = 3, leader = 0, replicas = [0,], isr = [0,]])
27 ene 2017 17:44:46,321 DEBUG [conf-file-poller-0] (org.apache.flume.node.PollingPropertiesFileConfigurationProvider$FileWatcherRunnable.run:127)  - Checking file:/opt/ldp/conf/ldp-flume/ldp-flume-l-03.conf for changes
27 ene 2017 17:45:16,322 DEBUG [conf-file-poller-0] (org.apache.flume.node.PollingPropertiesFileConfigurationProvider$FileWatcherRunnable.run:127)  - Checking file:/opt/ldp/conf/ldp-flume/ldp-flume-l-03.conf for changes
